********************************************************************************
* Mon Jan  7 11:54:56 2013 UTC
* lumitype: PIXEL , datatag: pixelv0 , normtag: PIXELV1 , worktag: HEAD
* 
* by:
* /afs/cern.ch/work/m/mmerola/CMSSW_4_4_5/bin/slc5_amd64_gcc434/pixelLumiCalc.py
* 
* update: NONE
********************************************************************************
[WARNING] lumi or trg for selected run/ls 167078 171 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167078 172 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167078 173 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167078 174 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171178 1036 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171178 1037 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171178 1038 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171178 1039 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171178 1040 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171178 1041 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171178 1042 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171178 1043 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172208 194 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172208 195 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172208 196 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172208 197 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172208 198 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172208 199 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163358 61 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163358 62 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163358 63 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167102 430 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165570 944 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165570 945 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165570 946 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167103 92 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167103 93 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167103 94 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 153 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 154 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 155 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 156 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 157 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 158 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 159 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 160 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 161 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171219 162 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163582 22 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171897 537 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171897 538 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171897 539 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171897 540 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171897 541 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171897 542 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172255 37 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172255 38 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172255 39 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172255 40 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165088 266 not in lumiDB
[WARNING] lumi or trg for selected run/ls 170722 284 not in lumiDB
[WARNING] lumi or trg for selected run/ls 170722 285 not in lumiDB
[WARNING] lumi or trg for selected run/ls 170722 286 not in lumiDB
[WARNING] lumi or trg for selected run/ls 170722 287 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172389 457 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172389 458 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172389 459 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172389 460 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172778 93 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172778 94 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172778 95 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172778 96 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172778 97 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172268 167 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172268 168 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172268 169 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165617 288 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172952 1559 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172952 1560 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172952 1561 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172952 1562 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167673 445 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167673 446 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167673 447 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167676 447 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167676 448 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167676 449 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167676 450 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172286 211 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172286 212 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172286 213 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172286 214 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172286 215 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172286 216 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166149 2 not in lumiDB
[WARNING] lumi or trg for selected run/ls 170759 373 not in lumiDB
[WARNING] lumi or trg for selected run/ls 170759 374 not in lumiDB
[WARNING] lumi or trg for selected run/ls 170759 375 not in lumiDB
[WARNING] lumi or trg for selected run/ls 170759 376 not in lumiDB
[WARNING] lumi or trg for selected run/ls 170759 377 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163596 26 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163596 27 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163596 28 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163596 29 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165506 168 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165506 169 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165506 170 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171282 170 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171282 171 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166164 34 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166164 35 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166164 36 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166164 37 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166164 38 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166164 39 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166164 40 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172824 50 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172824 51 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172824 52 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172824 53 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172824 54 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171812 434 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171812 435 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171812 436 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171812 437 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171812 438 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166701 784 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166701 785 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166701 786 not in lumiDB
